#MSM,Making Sense of Location-based Micro-posts Using Stream Reasoning. (7)
#Microposts,A Reverse Approach to Named Entity Extraction and Linking in Microposts. (9)
*SEM@COLING,More or less supervised supersense tagging of Twitter. (5),Text Summarization through Entailment-based Minimum Vertex Cover. (5)
BCS HCI / IHM,People and Computers XV - Interaction without Frontiers, Joint Proceedings of HCI 2001 and IHM 2001, Lille, France, September 10-14, 2001. (3)
BCS International IT Conferenc,Two-factor Protection Scheme in Securing the Source Code of Android Applications. (6),A Novel Long Term Traffic Forecast Algorithm. (6)
BCS International IT Conference,Mobility, Intelligent Networks &Smart Societies, Proceedings of the 2nd BCS International IT Conference 2014, Abu Dhabi, United Arab Emirates, 9 - 10 March 2014 (1)
BCS-IRSG Annual Colloquium on IR Research,Normalization and Matching in the DORO System. (4),Agents in Cyberspace - Towards a Framework for Multi-Agent Systems in Information Discovery. (4),Towards an Agent-Based Retrieval Engine (Profile Information Filtering Project). (4),An Architecture for Efficient Document Clustering and Retrieval on a Dynamic Collection of Newspaper Texts. (4)
BCSS@PERSUASIVE,Self-tracking and Persuasive eCoaching in Healthy Lifestyle Interventions: Work-in-progress Scoping Review of Key Components. (8)
BD,Beyond One-Dimensional Portraits: A Synoptic Approach to the Visual Analysis of Biography Data. (6)
BDCA,Mobiles Agents and Virtual Firewall to Secure the Shared Network for Virtual Machines in IaaS cloud. (6),Development and Management of a Remote Laboratory in Physics for Engineering Education (E-LAB FSBM). (6),Automatic Classification of Air Pollution and Human Health. (6)
BDCAT,A Data Compacting Technique to reduce the NetFlow size in Botnet Detection with BotCluster. (8)
BDET,SDPN: A Neural Network Approach for E-hailing Car Supply and Demand Prediction. (6)
BDIM,Elevating the Discussion on Security Management: The Data Centric Paradigm. (8)
BEAT,Dynamic Role Authorization in Multiparty Conversations. (5)
BI-Wiss.-Verlag,Sicherheit für offene Kommunikation: verbindliche Telekooperation. (1),Digitaler optischer Computer: Architektur und Algorithmen. (1),Wissensbasierte Qualitätsassistenz zur Konstruktion von Prüfstrategien für Softwarekomponenten. (1),Iterierte Funktionen, Sprachen und Fraktale. (1)
BIAS,Using String-Comparison Measures to Improve and Evaluate Collaborative Filtering Recommender Systems. (5),Improving News Personalization Through Search Logs. (5)
BIBM Workshops,A randomized controlled study of emotion and quality of life on mild to moderate insomnia intervened by Chinese Medicine in integrated program. (14)
BIC-TA,A parallel type of DNA computing model for graph vertex coloring problem. (12),Using Support Vector Machine to Identify Imaging Biomarkers of Major Depressive Disorder and Anxious Depression. (12)
BICOD,A Fast Approach for Detecting Overlapping Communities in Social Networks Based on Game Theory. (5)
BICT,Bio-inspired Resource Allocation for Multi-hop Networks. (13)
BICoB,A Comprehensive Analysis Workflow for Genome-Wide Screening Data from ChIP-Sequencing Experiments. (10)
BIFE,Blue Arrow: A Web-Based Spatially-Enabled Decision Support System for Emergency Evacuation Planning. (7)
BIIML,Mobile phones to facilitate connected social learning and work-based practices in marginalized settings. Insights from a research project in rural South Africa. (6)
BIOID,Bosphorus Database for 3D Face Analysis. (7),3D Face Recognition Benchmarks on the Bosphorus Database with Focus on Facial Expressions. (7)
BIOINFORMATICS,Bioinformatics Strategies for Identifying Regions of Epigenetic Deregulation Associated with Aberrant Transcript Splicing and RNA-editing. (23)
BIOMET,Iris Detection through Watershed Segmentation. (4),Using Mutual Information for Multi-Anchor Tracking of Human Beings. (4),Human Classification Using Gait Features. (4),Fast Iris Recognition on Smartphone by means of Spatial Histograms. (4),Facial Expression Classification Using Supervised Descent Method Combined With PCA and SVM. (4),People Identification and Tracking Through Fusion of Facial and Gait Features. (4)
BIOSIG,PROTECT Multimodal DB: fusion evaluation on a novel multimodal biometrics dataset envisaging Border Control. (15),3D Capturing of Fingerprints - On the way to a contactless certified sensor. (15)
BIOSIGNALS (1),Analysis of Heart Rate and Blood Pressure Variability in Pregnancy - New Method for the Prediction of Preeclampsia. (7)
BIOTECHNO,Network P2P for Exploring and Visualization of Proteomic Data: Possibility of Handling Data and Analysing Them under Different Perspectives. (13)
BIR,Capability Modeling: Initial Experiences. (7)
BIR@ECIR,Proceedings of the First Workshop on Bibliometric-enhanced Information Retrieval co-located with 36th European Conference on Information Retrieval (ECIR 2014), Amsterdam, The Netherlands, April 13, 2014. (5),How do Computer Scientists Use Google Scholar?: A Survey of User Interest in Elements on SERPs and Author Profile Pages. (5)
BIRNDL@SIGIR,CIST@CLSciSumm-19: Automatic Scientific Paper Summarization with Citances and Facets. (7)
BIRNDL@SIGIR (2),CIST@CLSciSumm-17: Multiple Features Based Citation Linkage, Classification and Summarization. (6)
BIRS-IMLKE,Machine Learning and Knowledge Extraction in Digital Pathology Needs an Integrative Approach. (7)
BIRTE,Blink: Not Your Father's Database! (21)
BIS (1),The Impact of Imbalanced Training Data on Local Matching Learning of Ontologies. (6)
BM-FA,Behavior Modeling with Interaction Diagrams in a UML and OCL Tool. (5),Definition and implementation of a semantic mapping for UML-RT using a timed pi-calculus. (5)
BMA@UAI,Trade-Based Asset Models for Combinatorial Prediction Markets. (4),An Object-Oriented Dynamic Bayesian Decision Network Model for Grasslands Adaptive Management. (4),Bayesian Networks on Income Tax Audit Selection - A Case Study of Brazilian Tax Administration. (4),Using Bayesian Networks to Identify and Prevent Split Purchases in Brazil. (4),A Probabilistic Approach for Detection and Analysis of Cognitive Flow. (4),Hierarchical Bayesian Survival Analysis and Projective Covariate Selection in Cardiovascular Event Risk Prediction. (4),Target Beliefs for SME-oriented Bayesian Network-based Modeling. (4)
BMC Bioinform.,Benchmarking the HLA typing performance of Polysolver and Optitype in 50 Danish parental trios. (59)
BMC Genom.,Soybean Knowledge Base (SoyKB): a web resource for soybean translational genomics. (15)
BMVC,VESICLE: Volumetric Evaluation of Synaptic Inferfaces using Computer Vision at Large Scale. (10),The DIARETDB1 Diabetic Retinopathy Database and Evaluation Protocol. (10),Improving Object Detection from Scratch via Gated Feature Reuse. (10)
BNCOD Posters,Storing Scene Graphs Tructures in Databases. (3),Robost Wrapping in Mediator-based Information Systems. (3),A Nested Matrix Model for Schema Versioning in Object-Oriented Databases. (3),Demonstration of Index Techniques for Similarity-based Search in ORDBMSs. (3),A Framework for Interoperability of CSCW Systems. (3),SQL Implementation of a ScanOnce Algorithm for Large Database Mining. (3),Database Interoperability using a Database's own Natural Query Language. (3),Automatic Topic Discovery and Categorisation of Hidden Web Databases. (3),Demo: Robost Wrapping in Mediator-based Information Systems. (3)
BODYNETS,Magnetic Steering of Superparamagnetic Nanoparticles in Duct Flow for Molecular Communication: A Feasibility Study. (12)
BPM (Blockchain and CEE Forum),Business Process Management: Blockchain and Central and Eastern Europe Forum - BPM 2019 Blockchain and CEE Forum, Vienna, Austria, September 1-6, 2019, Proceedings (8)
BPM (Forum),iProcess: Enabling IoT Platforms in Data-Driven Knowledge-Intensive Processes. (9)
BPM Demos,Configurable Execution Environments for Medical Processes. (6)
BPMDS,Using Process Mining to Analyze and Improve Process Flexibility. (4)
BPOE@ASPLOS/VLDB,A Study of SQL-on-Hadoop Systems. (10)
BPSC,A Capability Oriented Management Approach for Business Integration. (6)
BQGT,Endogenous arrivals in batch queues with constant or variable capacity. (5)
BRACIS,A Deep Learning Approach to Detect Hyoid Bone in Ultrasound Exam. (10)
BS,Buffer sizing and Video QoE Measurements at Netflix. (6)
BSB,A Pipeline to Characterize Virulence Factors in Mycobacterium Massiliense Genome. (12),Genome-Wide Identification of Non-coding RNAs in Komagatella pastoris str. GS115. (12)
BSDCon,Building a High-performance Computing Cluster Using FreeBSD. (4)
BSN,DexterNet: An Open Platform for Heterogeneous Body Sensor Networks and its Applications. (15)
BSNLP@RANLP,Online Extraction of Russian Multiword Expressions. (6),Automatic Classification of WordNet Morphosemantic Relations. (6)
BTW (Workshops),Interactive Data Exploration for Geoscience. (8),Application and Testing of Business Processes in the Energy Domain. (8)
BUCC@ACL,Cross-lingual Slot Filling from Comparable Corpora. (11)
BVAI,Reversal of "Cubic" and "Cylindric" Figures. (7),Towards a Formal Approach to Generative Design: An Assistant System for the Creation of Artefact Models. (7)
Balt. J. Mod. Comput.,Automated Analysis of the Content of Selected Open Access Internet Sources as a Tool for Government Decision Making. (10)
Banff Higher Order Workshop,Specification Structures and Propositions-as-Types for Concurrency. (3)
Begründungsverwaltung,An Integrated Non-Monotonic and Reason Maintenance System. (2)
Behavioral Specifications of Businesses and Systems,Meta-Modelling Semantics of UML. (4),What is Behind UML-RT? (4),Object-Oriented Transformation. (4)
Belief Functions,Data Association for Object Enumeration Using Belief Function Theory. (6)
Bell Labs Tech. J.,100 Gb/s DQPSK field trial: Live video transmission over an operating LambdaXtreme® network. (29)
Benjamin/Cummings,Temporal Databases: Theory, Design, and Implementation (6)
Berlin-Verlag Spitz,Rechnergestützte Leitungsinformationssysteme in Kombinaten und Betrieben der DDR-Industrie. (1)
Berliner XML Tage,A Spoken Language Front-end for a Multilingual Music Data Base. (11)
Best Practices in Computer Network Defense,Conclusions. (2),Coordination and Cooperation in Cyber Network Defense: the Dutch Efforts to Prevent and Respond. (2),Computer Network Defense: New Threats and Trends. (2),Back to Basics: Beyond Network Hygiene. (2)
Best of PLDI,TIL: a type-directed, optimizing compiler for ML (with retrospective) (6),Orbit: an optimizing compiler for scheme (with retrospective) (6)
Between Logic and Reality,Towards a Formal Account of Identity Criteria. (2),A Mereology for the Change of Parts. (2)
BeyondMR@SIGMOD,Automatic Caching Decision for Scientific Dataflow Execution in Apache Spark. (10)
Big Data - Algorithms, Analytics, and Applications,GEMS: Graph Database Engine for Multithreaded Systems. (8)
Big Data Res.,Interactive Visual Analytics for Sensemaking with Big Text. (9),Towards Human-Machine Collaboration in Creating an Evaluation Corpus for Adverse Drug Events in Discharge Summaries of Electronic Medical Records. (9)
Big Data Technologies and Applications,Deep Learning Techniques in Big Data Analytics. (6)
BigData Congress,BigDataStack: A Holistic Data-Driven Stack for Big Data Applications and Operations. (19)
BigDataService,The Matsu Wheel: A Cloud-Based Framework for Efficient Analysis and Reanalysis of Earth Satellite Imagery. (14)
BigMM,Object Tracking over a Multiple-Camera Network. (11),GrabView: A Scalable Street View System for Images Taken from Different Devices. (11)
BigSDM,Information Services of Big Remote Sensing Data. (12)
BigSpatial@SIGSPATIAL,Spatial computing goes to education and beyond: can semantic trajectory characterize students? (6),P2EST: parallelization philosophies for evaluating spatio-temporal queries. (6),Geospatial Big Data Analytics Engine for Spark. (6),HiAccess: High-resolution Accessibility Analysis with High Performance Geographic Information System. (6),GPGPU-accelerated interesting interval discovery and other computations on GeoSpatial datasets: a summary of results. (6),A computational framework for ontologically storing and analyzing very large overhead image sets. (6),Big earth observation data analytics: matching requirements to system architectures. (6),Spatiotemporal data mining in the era of big spatial data: algorithms and applications. (6),When big data meets big smog: a big spatio-temporal data framework for China severe smog analysis. (6),An efficient GPU multiple-observer siting method based on sparse-matrix multiplication. (6)
